SalesID,EmployeeID,ProductName,Quantity,UnitPrice,SalesDate,Region
101,432,USB Drive,76,2000,2025-08-20,Northeast
102,44,Laptop,23,25,2024-12-08,Northeast
103,872,Mouse,64,2000,2025-04-09,Central
104,920,Printer,95,100,2025-04-17,West
105,317,USB Drive,57,500,2025-02-16,Southwest
106,381,Printer,10,75,2025-11-07,West
107,145,Laptop,35,75,2025-02-08,Southwest
108,327,USB Drive,6,100,2025-06-03,Central
109,363,Headphones,89,25,2025-03-05,North
110,50,Keyboard,95,400,2025-03-31,Central
111,65,Mouse,54,1000,2025-03-23,North
112,355,USB Drive,94,500,2025-11-02,West
113,800,Router,79,75,2025-05-26,South
114,164,Router,67,100,2025-05-01,Southwest
115,141,Printer,82,400,2025-02-01,Central
116,966,Printer,56,400,2025-11-14,Central
117,826,External HDD,81,50,2025-06-01,West
118,128,Mouse,60,75,2025-06-17,West
119,398,Laptop,14,2000,2025-08-16,West
120,933,External HDD,46,1000,2025-10-11,West
121,880,Mouse,16,25,2025-01-02,Northeast
122,463,Monitor,27,100,2025-01-04,North
123,751,Monitor,37,50,2025-05-24,North
124,836,Mouse,97,1200,2025-03-16,West
125,808,Monitor,61,800,2025-05-12,North
126,187,USB Drive,20,500,2025-07-25,Southwest
127,720,Webcam,25,100,2025-02-06,Southwest
128,732,Printer,50,25,2025-01-28,Southwest
129,912,Webcam,58,1200,2025-10-12,West
130,190,Monitor,78,75,2025-08-01,East
131,388,Mouse,37,75,2025-10-12,East
132,429,Headphones,5,500,2024-11-26,South
133,858,Keyboard,54,500,2025-04-02,Southwest
134,284,Keyboard,37,100,2024-11-23,Southwest
135,864,Monitor,74,400,2025-11-01,West
136,237,Headphones,10,400,2025-01-16,South
137,194,Mouse,9,500,2025-10-31,South
138,287,Webcam,78,75,2025-05-09,Northeast
139,771,Webcam,33,1200,2025-05-22,West
140,758,External HDD,93,800,2025-03-05,Central
141,136,Mouse,24,100,2025-07-14,North
142,792,External HDD,70,75,2025-01-14,East
143,783,External HDD,57,2000,2025-03-10,North
144,171,Monitor,26,800,2025-04-09,Central
145,159,USB Drive,39,400,2025-10-22,North
146,201,USB Drive,44,50,2025-10-09,Southwest
147,487,Laptop,64,500,2025-06-13,West
148,557,Laptop,48,75,2025-11-18,West
149,962,External HDD,67,800,2025-04-17,South
150,776,Laptop,48,2000,2024-12-27,Southwest
151,583,Keyboard,40,400,2025-02-04,Southwest
152,504,Webcam,46,800,2024-11-29,Northeast
153,876,External HDD,96,100,2025-09-18,Southwest
154,371,Headphones,90,25,2025-08-29,North
155,103,Headphones,3,25,2024-12-08,North
156,125,Monitor,76,800,2025-05-21,South
157,313,Monitor,14,1200,2025-11-18,East
158,976,USB Drive,83,500,2025-08-22,South
159,995,Webcam,4,75,2025-01-01,West
160,798,External HDD,12,1200,2025-07-28,West
161,458,Webcam,99,1200,2025-01-10,Central
162,230,Printer,23,25,2025-08-07,East
163,658,USB Drive,3,2000,2025-03-11,Northeast
164,882,Printer,3,400,2025-01-16,Southwest
165,197,Printer,42,75,2025-01-29,South
166,885,Headphones,80,1200,2025-01-03,Northeast
167,733,Webcam,77,800,2025-02-19,Southwest
168,423,Laptop,19,100,2025-05-06,Central
169,572,Keyboard,28,400,2025-08-13,Central
170,610,External HDD,38,1200,2025-08-17,South
171,171,Keyboard,9,100,2025-01-07,South
172,382,Laptop,56,800,2025-01-18,South
173,173,Keyboard,17,400,2025-11-11,West
174,663,Monitor,7,25,2025-01-27,Northeast
175,453,External HDD,72,25,2025-07-03,West
176,350,Router,76,500,2025-08-24,North
177,902,Monitor,54,50,2025-03-07,Northeast
178,952,USB Drive,28,400,2024-12-01,North
179,634,Laptop,66,50,2025-02-18,North
180,494,Router,28,2000,2025-01-26,South
181,620,Monitor,25,25,2025-04-17,North
182,4,Router,91,1000,2025-03-30,East
183,93,Keyboard,99,100,2025-03-12,Northeast
184,919,Headphones,79,2000,2025-02-25,West
185,6,Laptop,49,400,2025-09-05,Southwest
186,288,Keyboard,48,500,2025-09-26,Central
187,618,Headphones,99,500,2025-08-06,West
188,146,Webcam,47,100,2025-08-16,Southwest
189,783,External HDD,62,50,2025-07-01,Central
190,424,Laptop,33,50,2025-09-28,West
191,890,Keyboard,42,25,2025-06-18,West
192,608,Laptop,87,400,2025-07-25,Southwest
193,457,Headphones,27,500,2025-06-06,South
194,741,External HDD,8,2000,2025-03-17,North
195,202,Monitor,62,50,2025-10-22,North
196,212,Router,38,75,2025-07-22,North
197,6,Webcam,4,75,2025-09-10,West
198,624,Webcam,54,800,2025-07-26,South
199,376,Headphones,48,1000,2024-11-29,North
200,891,Printer,69,50,2025-05-18,North
201,447,Headphones,16,400,2025-03-05,Southwest
202,835,USB Drive,61,800,2025-01-15,Central
203,106,External HDD,18,1000,2025-05-14,West
204,651,USB Drive,45,2000,2024-11-23,Central
205,811,Laptop,18,75,2025-04-03,Northeast
206,401,Laptop,8,500,2025-07-23,East
207,96,Printer,29,1200,2025-09-11,North
208,388,Webcam,21,100,2024-12-23,West
209,959,Keyboard,54,500,2024-12-28,North
210,452,Router,91,100,2025-07-03,Southwest
211,849,USB Drive,47,400,2025-11-10,North
212,809,Mouse,66,75,2025-06-28,Northeast
213,979,Keyboard,68,100,2025-05-14,Southwest
214,901,External HDD,48,75,2024-12-12,West
215,416,Laptop,76,100,2025-10-09,North
216,726,Headphones,80,500,2025-05-16,West
217,504,Printer,89,50,2025-01-15,East
218,454,Laptop,23,2000,2025-03-26,West
219,291,Router,17,25,2025-04-28,East
220,534,USB Drive,61,1000,2025-05-22,West
221,193,Headphones,52,75,2024-12-15,West
222,980,Webcam,42,100,2025-08-13,North
223,150,Keyboard,51,100,2025-04-20,North
224,880,Keyboard,1,100,2025-05-28,Central
225,759,USB Drive,21,1000,2025-10-13,East
226,779,USB Drive,57,100,2024-12-24,South
227,973,USB Drive,36,75,2025-02-09,Central
228,763,Mouse,2,500,2025-01-07,Northeast
229,515,Mouse,23,50,2025-06-30,West
230,393,Headphones,60,2000,2024-12-20,Central
231,316,Monitor,59,1200,2025-03-01,Northeast
232,76,USB Drive,66,400,2025-03-25,East
233,599,Keyboard,43,800,2025-08-07,Northeast
234,270,Headphones,59,25,2025-08-04,Southwest
235,225,Mouse,74,50,2025-06-01,Southwest
236,530,Laptop,73,75,2025-05-09,West
237,113,Router,93,100,2025-09-15,South
238,251,Monitor,90,2000,2025-07-23,Northeast
239,233,External HDD,36,75,2025-07-17,East
240,841,USB Drive,60,50,2025-11-09,Central
241,791,Laptop,93,500,2025-03-14,West
242,714,Printer,4,25,2025-03-17,East
243,83,USB Drive,21,1000,2025-05-01,West
244,125,Mouse,97,25,2025-08-09,South
245,175,Keyboard,95,2000,2025-05-09,Northeast
246,69,Laptop,92,50,2025-11-04,West
247,47,USB Drive,97,75,2025-07-09,North
248,884,Keyboard,4,100,2025-10-30,Southwest
249,256,Webcam,4,400,2024-11-30,South
250,727,USB Drive,33,100,2025-09-09,Northeast
251,30,Keyboard,14,500,2025-06-18,North
252,281,Mouse,9,75,2025-07-05,Northeast
253,924,Router,88,1000,2024-12-08,Southwest
254,994,Router,64,50,2025-07-15,Central
255,237,USB Drive,62,1200,2025-08-14,South
256,248,Headphones,89,800,2024-12-30,East
257,368,Monitor,7,1000,2025-07-23,West
258,495,Monitor,92,500,2025-06-17,Central
259,25,Laptop,5,400,2025-09-04,North
260,586,Monitor,13,400,2025-02-26,Southwest
261,718,USB Drive,2,800,2025-11-07,West
262,490,Headphones,84,100,2025-08-30,Central
263,494,Router,12,25,2025-05-14,Central
264,314,Monitor,91,500,2025-06-17,Southwest
265,606,Keyboard,7,400,2025-09-03,East
266,375,Webcam,34,800,2025-04-10,Central
267,639,Monitor,21,25,2025-06-26,East
268,937,Mouse,60,800,2025-01-19,Northeast
269,25,Headphones,82,2000,2025-07-02,West
270,334,Monitor,10,50,2025-03-02,Southwest
271,355,Headphones,38,800,2025-08-05,East
272,116,Router,58,2000,2025-02-25,East
273,48,Monitor,56,50,2025-08-05,Northeast
274,738,Webcam,44,75,2025-07-27,Southwest
275,778,Monitor,85,800,2025-08-22,Northeast
276,99,Laptop,80,50,2025-06-07,Northeast
277,459,Mouse,64,100,2025-02-06,Southwest
278,523,Webcam,20,1200,2024-12-04,Southwest
279,597,External HDD,50,500,2025-07-14,Southwest
280,405,Router,54,1000,2025-08-19,North
281,214,Monitor,46,1200,2025-06-25,East
282,685,Webcam,40,1200,2025-01-27,Northeast
283,903,Keyboard,24,800,2025-05-12,North
284,503,Router,85,2000,2025-01-05,Central
285,721,External HDD,58,50,2025-09-11,Northeast
286,448,Laptop,31,500,2025-02-24,North
287,894,Mouse,50,1000,2025-07-28,West
288,576,Printer,10,100,2025-02-18,East
289,258,Router,84,1200,2025-04-16,Northeast
290,844,Printer,14,1000,2025-05-01,South
291,121,Keyboard,19,25,2025-06-07,Southwest
292,810,Keyboard,30,1000,2025-04-15,South
293,978,Printer,57,1200,2025-10-02,North
294,54,Router,16,25,2024-12-04,Southwest
295,331,Keyboard,22,1200,2025-11-02,Southwest
296,784,Printer,54,25,2025-05-09,Southwest
297,241,Headphones,84,2000,2025-11-07,Southwest
298,755,Webcam,70,800,2025-02-12,East
299,530,Keyboard,43,50,2025-03-03,Northeast
300,483,Printer,97,100,2025-03-23,Northeast
301,187,External HDD,19,1000,2025-06-18,West
302,858,Mouse,5,1000,2025-05-06,West
303,656,Webcam,71,2000,2025-02-12,Southwest
304,262,Mouse,98,800,2025-06-23,Northeast
305,953,Router,20,100,2025-11-10,Southwest
306,364,Webcam,15,100,2025-02-15,Northeast
307,491,Router,38,500,2025-07-08,Northeast
308,431,Monitor,1,2000,2025-03-21,Southwest
309,239,Keyboard,5,400,2025-08-05,South
310,304,Mouse,98,1200,2025-09-09,South
311,298,External HDD,54,400,2025-08-08,Southwest
312,76,Monitor,85,500,2025-10-12,West
313,700,Mouse,61,1000,2025-05-03,West
314,333,Router,78,2000,2025-04-22,East
315,900,External HDD,17,100,2025-07-19,West
316,999,Headphones,76,2000,2025-10-29,North
317,758,External HDD,27,2000,2025-11-08,North
318,642,Headphones,70,50,2025-04-08,West
